IDAdicionalAplicado,IDProtocolo,IDAdicional,IDObraSocial,MontoFijo,PorcentajeSP
6,6,1,4,0,0
7,7,1,2,0,0
8,9,1,2,0,0
9,10,1,4,0,0
10,13,1,4,0,0
11,14,1,4,0,0
12,15,1,4,0,0
13,16,1,4,0,0
14,17,1,4,0,0
15,18,1,4,0,0
16,19,1,4,0,0
17,20,1,4,0,0
18,21,1,4,0,0
19,23,1,4,0,0
20,24,1,4,0,0
21,25,1,4,0,0
22,26,1,4,0,0
23,27,1,4,0,0
24,28,1,4,0,0
25,29,1,4,0,0
26,31,1,4,0,0
27,32,1,4,0,0
28,33,1,4,0,0
29,34,1,4,0,0
30,35,1,4,0,0
31,36,1,2,0,0
32,37,1,4,0,0
33,38,1,2,0,0
34,39,1,4,0,0
35,40,1,4,0,0
36,41,1,4,0,0
37,42,1,4,0,0
38,43,1,4,0,0
39,44,1,4,0,0
40,45,1,4,0,0
41,46,1,4,0,0
42,47,1,4,0,0
43,48,1,4,0,0
44,50,1,4,0,0
45,51,1,4,0,0
46,52,1,4,0,0
47,53,1,4,0,0
48,56,1,4,0,0
49,57,1,4,0,0
50,58,1,4,0,0
51,59,1,4,0,0
52,60,1,4,0,0
53,61,1,4,0,0
54,62,1,4,0,0
55,63,1,4,0,0
56,64,1,4,0,0
57,65,1,4,0,0
58,66,1,4,0,0
59,67,1,4,0,0
60,68,1,4,0,0
61,69,1,4,0,0
62,70,1,4,0,0
63,71,1,4,0,0
64,72,1,4,0,0
65,74,1,4,0,0
66,75,1,4,0,0
67,76,1,4,0,0
68,77,1,4,0,0
69,79,1,4,0,0
70,80,1,4,0,0
71,81,1,4,0,0
72,82,1,4,0,0
73,83,1,4,0,0
74,84,1,4,0,0
75,85,1,4,0,0
76,87,1,4,0,0
77,88,1,4,0,0
78,89,1,4,0,0
79,90,1,4,0,0
80,91,1,4,0,0
81,92,1,4,0,0
82,93,1,4,0,0
83,93,2,4,0,0
84,93,3,4,0,0
85,95,1,4,0,0
86,96,1,4,0,0
87,97,1,4,0,0
88,98,1,4,0,0
89,99,1,4,0,0
90,100,1,4,0,0
91,101,1,4,0,0
