IDPasoCalcular,IDSubDeterminacion,TipoOperacion,ArgumentoNumerico,ArgumentoIDSubDete
465,254,INGRESAR SUBDET,0,252
466,254,INGRESAR SUBDET,0,253
467,254,RESTAR,0,0
468,272,INGRESAR SUBDET,0,270
469,272,INGRESAR SUBDET,0,271
470,272,RESTAR,0,0
471,273,INGRESAR SUBDET,0,271
472,273,INGRESAR SUBDET,0,272
473,273,DIVIDIR,0,0
811,1404,INGRESAR SUBDET,0,1403
812,1404,INGRESAR SUBDET,0,1402
813,1404,MULTIPLICAR,0,0
814,1404,INGRESAR NUMERO,100,0
815,1404,DIVIDIR,0,0
816,1406,INGRESAR SUBDET,0,1405
817,1406,INGRESAR SUBDET,0,1402
818,1406,MULTIPLICAR,0,0
819,1406,INGRESAR NUMERO,100,0
820,1406,DIVIDIR,0,0
821,1408,INGRESAR SUBDET,0,1407
822,1408,INGRESAR SUBDET,0,1402
823,1408,MULTIPLICAR,0,0
824,1408,INGRESAR NUMERO,100,0
825,1408,DIVIDIR,0,0
826,1409,INGRESAR NUMERO,0,0
827,1410,INGRESAR NUMERO,0,0
828,1412,INGRESAR SUBDET,0,1402
829,1412,INGRESAR SUBDET,0,1411
830,1412,MULTIPLICAR,0,0
831,1412,INGRESAR NUMERO,100,0
832,1412,DIVIDIR,0,0
833,1414,INGRESAR SUBDET,0,1402
834,1414,INGRESAR SUBDET,0,1413
835,1414,MULTIPLICAR,0,0
836,1414,INGRESAR NUMERO,100,0
837,1414,DIVIDIR,0,0
838,1417,INGRESAR SUBDET,0,1403
839,1417,INGRESAR SUBDET,0,1405
840,1417,SUMAR,0,0
841,1417,INGRESAR SUBDET,0,1407
842,1417,SUMAR,0,0
843,1417,INGRESAR SUBDET,0,1409
844,1417,SUMAR,0,0
845,1417,INGRESAR SUBDET,0,1411
846,1417,SUMAR,0,0
847,1417,INGRESAR SUBDET,0,1413
848,1417,SUMAR,0,0
849,1398,INGRESAR SUBDET,0,1399
850,1398,INGRESAR NUMERO,110000,0
851,1398,MULTIPLICAR,0,0
868,1478,INGRESAR SUBDET,0,1473
869,1478,INGRESAR SUBDET,0,1474
870,1478,DIVIDIR,0,0
871,1472,INGRESAR SUBDET,0,1465
872,1472,INGRESAR SUBDET,0,1466
873,1472,DIVIDIR,0,0
988,1485,INGRESAR SUBDET,0,1480
989,1485,INGRESAR SUBDET,0,1481
990,1485,DIVIDIR,0,0
991,1882,INGRESAR SUBDET,0,1883
992,1882,INGRESAR NUMERO,110000,0
993,1882,MULTIPLICAR,0,0
994,1885,INGRESAR SUBDET,0,1884
995,1885,INGRESAR SUBDET,0,1883
996,1885,DIVIDIR,0,0
997,1885,INGRESAR NUMERO,100,0
998,1885,MULTIPLICAR,0,0
999,1888,INGRESAR SUBDET,0,1887
1000,1888,INGRESAR SUBDET,0,1886
1001,1888,MULTIPLICAR,0,0
1002,1888,INGRESAR NUMERO,100,0
1003,1888,DIVIDIR,0,0
1004,1890,INGRESAR SUBDET,0,1889
1005,1890,INGRESAR SUBDET,0,1886
1006,1890,MULTIPLICAR,0,0
1007,1890,INGRESAR NUMERO,100,0
1008,1890,DIVIDIR,0,0
1009,1892,INGRESAR SUBDET,0,1891
1010,1892,INGRESAR SUBDET,0,1886
1011,1892,MULTIPLICAR,0,0
1012,1892,INGRESAR NUMERO,100,0
1013,1892,DIVIDIR,0,0
1014,1893,INGRESAR NUMERO,0,0
1015,1894,INGRESAR SUBDET,0,1893
1016,1894,INGRESAR SUBDET,0,1886
1017,1894,MULTIPLICAR,0,0
1018,1894,INGRESAR NUMERO,100,0
1019,1894,DIVIDIR,0,0
1020,1896,INGRESAR SUBDET,0,1895
1021,1896,INGRESAR SUBDET,0,1886
1022,1896,MULTIPLICAR,0,0
1023,1896,INGRESAR NUMERO,100,0
1024,1896,DIVIDIR,0,0
1025,1898,INGRESAR SUBDET,0,1897
1026,1898,INGRESAR SUBDET,0,1886
1027,1898,MULTIPLICAR,0,0
1028,1898,INGRESAR NUMERO,100,0
1029,1898,DIVIDIR,0,0
1030,1899,INGRESAR SUBDET,0,1887
1031,1899,INGRESAR SUBDET,0,1889
1032,1899,SUMAR,0,0
1033,1899,INGRESAR SUBDET,0,1891
1034,1899,SUMAR,0,0
1035,1899,INGRESAR SUBDET,0,1895
1036,1899,SUMAR,0,0
1037,1899,INGRESAR SUBDET,0,1897
1038,1899,SUMAR,0,0
1042,1914,INGRESAR SUBDET,0,1915
1043,1914,INGRESAR SUBDET,0,1913
1044,1914,RESTAR,0,0
1519,2301,INGRESAR SUBDET,,2299
1520,2301,INGRESAR SUBDET,,2300
1521,2301,MULTIPLICAR,,
1522,2301,INGRESAR NUMERO,100,
1523,2301,DIVIDIR,,
1524,2303,INGRESAR SUBDET,,2299
1525,2303,INGRESAR SUBDET,,2302
1526,2303,MULTIPLICAR,,
1527,2303,INGRESAR NUMERO,100,
1528,2303,DIVIDIR,,
1529,2305,INGRESAR SUBDET,,2299
1530,2305,INGRESAR SUBDET,,2304
1531,2305,MULTIPLICAR,,
1532,2305,INGRESAR NUMERO,100,
1533,2305,DIVIDIR,,
1534,2306,INGRESAR NUMERO,0,
1535,2307,INGRESAR NUMERO,0,
1536,2309,INGRESAR SUBDET,,2299
1537,2309,INGRESAR SUBDET,,2308
1538,2309,MULTIPLICAR,,
1539,2309,INGRESAR NUMERO,100,
1540,2309,DIVIDIR,,
1541,2311,INGRESAR SUBDET,,2299
1542,2311,INGRESAR SUBDET,,2310
1543,2311,MULTIPLICAR,,
1544,2311,INGRESAR NUMERO,100,
1545,2311,DIVIDIR,,
1546,2312,INGRESAR SUBDET,,2300
1547,2312,SUMAR,,
1548,2312,INGRESAR SUBDET,,2302
1549,2312,SUMAR,,
1550,2312,INGRESAR SUBDET,,2304
1551,2312,SUMAR,,
1552,2312,INGRESAR SUBDET,,2308
1553,2312,SUMAR,,
1554,2312,INGRESAR SUBDET,,2310
1555,2312,SUMAR,,
1862,2513,INGRESAR SUBDET,,2511
1863,2513,INGRESAR SUBDET,,2512
1864,2513,MULTIPLICAR,,
1865,2513,INGRESAR NUMERO,100,
1866,2513,DIVIDIR,,
1867,2515,INGRESAR SUBDET,,2511
1868,2515,INGRESAR SUBDET,,2514
1869,2515,MULTIPLICAR,,
1870,2515,INGRESAR NUMERO,100,
1871,2515,DIVIDIR,,
1872,2517,INGRESAR SUBDET,,2511
1873,2517,INGRESAR SUBDET,,2516
1874,2517,MULTIPLICAR,,
1875,2517,INGRESAR NUMERO,100,
1876,2517,DIVIDIR,,
1877,2518,INGRESAR NUMERO,0,
1878,2519,INGRESAR NUMERO,0,
1879,2521,INGRESAR SUBDET,,2511
1880,2521,INGRESAR SUBDET,,2520
1881,2521,MULTIPLICAR,,
1882,2521,INGRESAR NUMERO,100,
1883,2521,DIVIDIR,,
1884,2523,INGRESAR SUBDET,,2511
1885,2523,INGRESAR SUBDET,,2522
1886,2523,MULTIPLICAR,,
1887,2523,INGRESAR NUMERO,100,
1888,2523,DIVIDIR,,
1889,2524,INGRESAR SUBDET,,2512
1890,2524,INGRESAR SUBDET,,2514
1891,2524,SUMAR,,
1892,2524,INGRESAR SUBDET,,2516
1893,2524,SUMAR,,
1894,2524,INGRESAR SUBDET,,2520
1895,2524,SUMAR,,
1896,2524,INGRESAR SUBDET,,2522
1897,2524,SUMAR,,
1898,2620,INGRESAR SUBDET,,2618
1899,2620,INGRESAR SUBDET,,2619
1900,2620,MULTIPLICAR,,
1901,2620,INGRESAR NUMERO,405,
1902,2620,DIVIDIR,,
1903,2634,INGRESAR SUBDET,,2632
1904,2634,INGRESAR SUBDET,,2633
1905,2634,MULTIPLICAR,,
1906,2634,INGRESAR NUMERO,100,
1907,2634,DIVIDIR,,
1908,2636,INGRESAR SUBDET,,2632
1909,2636,INGRESAR SUBDET,,2635
1910,2636,MULTIPLICAR,,
1911,2636,INGRESAR NUMERO,100,
1912,2636,DIVIDIR,,
1913,2638,INGRESAR SUBDET,,2632
1914,2638,INGRESAR SUBDET,,2637
1915,2638,MULTIPLICAR,,
1916,2638,INGRESAR NUMERO,100,
1917,2638,DIVIDIR,,
1918,2639,INGRESAR NUMERO,0,
1919,2640,INGRESAR NUMERO,0,
1920,2642,INGRESAR SUBDET,,2632
1921,2642,INGRESAR SUBDET,,2641
1922,2642,MULTIPLICAR,,
1923,2642,INGRESAR NUMERO,100,
1924,2642,DIVIDIR,,
1925,2644,INGRESAR SUBDET,,2632
1926,2644,INGRESAR SUBDET,,2643
1927,2644,MULTIPLICAR,,
1928,2644,INGRESAR NUMERO,100,
1929,2644,DIVIDIR,,
1930,2645,INGRESAR SUBDET,,2633
1931,2645,INGRESAR SUBDET,,2635
1932,2645,SUMAR,,
1933,2645,INGRESAR SUBDET,,2637
1934,2645,SUMAR,,
1935,2645,INGRESAR SUBDET,,2641
1936,2645,SUMAR,,
1937,2645,INGRESAR SUBDET,,2643
1938,2645,SUMAR,,
1939,2624,INGRESAR SUBDET,,2622
1940,2624,INGRESAR SUBDET,,2621
1941,2624,DIVIDIR,,
1942,2624,INGRESAR NUMERO,10000000,
1943,2624,MULTIPLICAR,,
1944,2625,INGRESAR SUBDET,,2623
1945,2625,INGRESAR SUBDET,,2621
1946,2625,DIVIDIR,,
1947,2625,INGRESAR NUMERO,10000000,
1948,2625,MULTIPLICAR,,
1949,2626,INGRESAR SUBDET,,2623
1950,2626,INGRESAR SUBDET,,2622
1951,2626,DIVIDIR,,
1952,2626,INGRESAR NUMERO,100,
1953,2626,MULTIPLICAR,,
1954,2691,INGRESAR SUBDET,0,2689
1955,2691,INGRESAR SUBDET,0,2690
1956,2691,RESTAR,0,0
1957,2692,INGRESAR SUBDET,0,2690
1958,2692,INGRESAR SUBDET,0,2691
1959,2692,DIVIDIR,0,0
1963,2700,INGRESAR SUBDET,0,2701
1964,2700,INGRESAR SUBDET,0,2699
1965,2700,RESTAR,0,0
1966,2706,INGRESAR SUBDET,0,2707
1967,2706,INGRESAR SUBDET,0,2705
1968,2706,RESTAR,0,0
2017,2811,INGRESAR SUBDET,,2809
2018,2811,INGRESAR SUBDET,,2810
2019,2811,RESTAR,,
2020,2817,INGRESAR SUBDET,0,2810
2021,2817,INGRESAR SUBDET,0,2811
2022,2817,DIVIDIR,0,0
2023,2967,INGRESAR SUBDET,,2965
2024,2967,INGRESAR SUBDET,,2966
2025,2967,MULTIPLICAR,,
2026,2967,INGRESAR NUMERO,100,
2027,2967,DIVIDIR,,
2028,2969,INGRESAR SUBDET,,2965
2029,2969,INGRESAR SUBDET,,2968
2030,2969,MULTIPLICAR,,
2031,2969,INGRESAR NUMERO,100,
2032,2969,DIVIDIR,,
2033,2971,INGRESAR SUBDET,,2965
2034,2971,INGRESAR SUBDET,,2970
2035,2971,MULTIPLICAR,,
2036,2971,INGRESAR NUMERO,100,
2037,2971,DIVIDIR,,
2038,2972,INGRESAR NUMERO,0,
2039,2973,INGRESAR NUMERO,0,
2040,2975,INGRESAR SUBDET,,2965
2041,2975,INGRESAR SUBDET,,2974
2042,2975,MULTIPLICAR,,
2043,2975,INGRESAR NUMERO,100,
2044,2975,DIVIDIR,,
2045,2977,INGRESAR SUBDET,,2965
2046,2977,INGRESAR SUBDET,,2976
2047,2977,MULTIPLICAR,,
2048,2977,INGRESAR NUMERO,100,
2049,2977,DIVIDIR,,
2050,2978,INGRESAR SUBDET,,2966
2051,2978,INGRESAR SUBDET,,2968
2052,2978,SUMAR,,
2053,2978,INGRESAR SUBDET,,2970
2054,2978,SUMAR,,
2055,2978,INGRESAR SUBDET,,2974
2056,2978,SUMAR,,
2057,2978,INGRESAR SUBDET,,2976
2058,2978,SUMAR,,
2059,2983,INGRESAR SUBDET,0,2981
2060,2983,INGRESAR SUBDET,0,2982
2061,2983,RESTAR,0,0
2062,2984,INGRESAR SUBDET,0,2982
2063,2984,INGRESAR SUBDET,0,2983
2064,2984,DIVIDIR,0,0
2065,2986,INGRESAR SUBDET,0,2987
2066,2986,INGRESAR SUBDET,0,2985
2067,2986,RESTAR,0,0
2068,3004,INGRESAR SUBDET,,3002
2069,3004,INGRESAR SUBDET,,3001
2070,3004,DIVIDIR,,
2071,3004,INGRESAR NUMERO,10000000,
2072,3004,MULTIPLICAR,,
2073,3005,INGRESAR SUBDET,,3003
2074,3005,INGRESAR SUBDET,,3001
2075,3005,DIVIDIR,,
2076,3005,INGRESAR NUMERO,10000000,
2077,3005,MULTIPLICAR,,
2078,3006,INGRESAR SUBDET,,3003
2079,3006,INGRESAR SUBDET,,3002
2080,3006,DIVIDIR,,
2081,3006,INGRESAR NUMERO,100,
2082,3006,MULTIPLICAR,,
2083,3014,INGRESAR SUBDET,,3012
2084,3014,INGRESAR SUBDET,,3013
2085,3014,MULTIPLICAR,,
2086,3014,INGRESAR NUMERO,100,
2087,3014,DIVIDIR,,
2088,3016,INGRESAR SUBDET,,3012
2089,3016,INGRESAR SUBDET,,3015
2090,3016,MULTIPLICAR,,
2091,3016,INGRESAR NUMERO,100,
2092,3016,DIVIDIR,,
2093,3018,INGRESAR SUBDET,,3012
2094,3018,INGRESAR SUBDET,,3017
2095,3018,MULTIPLICAR,,
2096,3018,INGRESAR NUMERO,100,
2097,3018,DIVIDIR,,
2098,3019,INGRESAR NUMERO,0,
2099,3020,INGRESAR NUMERO,0,
2100,3022,INGRESAR SUBDET,,3012
2101,3022,INGRESAR SUBDET,,3021
2102,3022,MULTIPLICAR,,
2103,3022,INGRESAR NUMERO,100,
2104,3022,DIVIDIR,,
2105,3024,INGRESAR SUBDET,,3012
2106,3024,INGRESAR SUBDET,,3023
2107,3024,MULTIPLICAR,,
