externalcode,Nombre,Codigo,Contado,Cortada,ValorNBU,SelectorRTR
1,OSER,,0,0,0,0
2,OSDE,,0,0,0,0
4,CONTADO,,1,0,1439,0
6,OSECAC,,0,1,0,0
7,PAMI,,0,0,0,0
8,SEGURO,,0,0,0,0
9,IOSE,,0,0,16.64,0
10,CIRME,,0,0,0,0
11,ISSPICA,,0,0,0,0
12,PANADEROS,,0,0,0,0
13,OSPLAD,,0,0,0,0
14,OSPIL,,0,0,0,0
15,SAMA,,0,0,0,0
16,OSBA,,0,0,0,0
17,OSPRERA,,0,0,0,0
18,SOL,,0,0,0,0
20,CAMIONEROS,,0,0,0,0
22,LUZ Y FUERZA,,0,0,0,0
23,OSTEL,,0,0,0,0
24,OSDOP,,0,0,0,0
25,OSPES,,0,0,0,0
26,OSPEC,,0,0,0,0
27,TV,,0,0,0,0
28,ACA Salud,,0,0,0,0
29,OSPA/VIAL,,0,0,0,0
30,OMINT,,0,0,0,0
31,OSPEDYC,,0,0,0,0
32,CONSTRUIR SALUD,,0,0,0,0
33,AMEBIC,,0,0,0,0
34,DIBA,,0,0,0,0
41,JERARQUICOS,,0,0,0,0
42,Galeno,,0,0,0,0
43,AMUR,,0,0,0,0
44,Veterinaria,,1,0,686,1
45,Prevención Salud,,0,0,0,0
46,SANCOR SALUD,,0,0,0,0
47,GASTRONOMICOS,,0,0,0,0
48,OSPIM,,0,0,0,0
49,OSPECON MONOTRIBUTO,,0,0,25,0
50,UNIMEDICA,,0,0,0,0
51,SWISS MEDICAL,,0,0,0,0
52,OSPAT,,0,0,0,0
53,SAS,,0,0,23.2,0
54,DASUTEN,,0,0,0,0
55,OPDEA,,0,0,0,0
56,DERIVANTE,,1,0,529,0
57,SANIDAD,,0,0,0,0
58,OSPIQYPZ,,0,0,0,0
59,UOM,,0,0,0,0
60,Farmacia,,0,0,0,0
61,UP,,0,0,0,0
62,OSPIT,,0,0,0,0
63,MEDIFE,,0,0,0,0
64,JUVENTUD,,0,0,25,0
65,COOP INTERNADOS,,0,0,0,0
66,POLICIA FEDERAL,,0,0,0,0
67,OSSEG,,0,0,0,0
68,OSMEDICA,,0,0,0,0
69,CON DESCUENTO,,1,0,1228,0
70,OSPE,,0,0,0,0
71,UNER,,0,0,0,0
72,UTA,,0,0,0,0
73,OSPIN Madereros,,0,0,0,0
74,SIN CARGO,,0,0,0,0
75,OSPECON,,0,0,0,0
76,IOSFA,,0,0,94.3,0
77,GERDANA,,0,0,0,0
78,PAMI NO AUTORIZADAS,,1,0,878,0
79,OSTRAG,,0,0,0,0
80,COOPERATIVISTAS,,1,0,1541,0
81,COOP GUARDIA,,0,0,0,0
82,JEANNOT,,1,0,1426,0
83,COOP PAMI INTERNADOS,,1,0,1000,0
84,OSTRAC,,0,0,0,0
85,OSPIA,,0,0,0,0
86,OSPAVIAL,,0,0,0,0
87,Metalurgicos,,0,0,0,0
88,QUIMICOS,,0,0,0,0
89,OSIAD,,0,0,0,0
90,Federada Salud,,0,0,0,0
91,OSMATA,,0,0,0,0
92,OSAM,,0,0,0,0
93,OSPERSA,,0,0,0,0
94,FUTBOLISTAS,,0,0,20,0
95,Ladrilleros,,0,0,0,0
96,Medicus,,0,0,0,0
97,ospiqyp,,0,0,0,0
98,OSPM,,0,0,0,0
99,OSPEGAP,,0,0,0,0
100,OSALARA,,0,0,0,0
101,PRONTO,,1,0,1426,0
102,OSPIDA,,0,0,0,0
103,Bancarios,,0,0,0,0
104,osdec,,0,0,0,0
106,OSPPYFER,,0,0,0,0
107,Poder Judicial,,0,0,0,0
108,COOP ARTNO USAR,,0,0,227,0
109,OSIAG,,0,0,0,0
110,San Pedro,,0,0,0,0
111,OSTCARA,,0,0,0,0
112,COOP EXTERNOS,,0,0,0,0
113,INTEGRAL SALUD,,0,0,0,0
114,COOP HOSPITALARIOS,,1,0,55,0
115,ospersams,,0,0,0,0
116,COOP OS CORTADA,,0,0,60,0
117,ISPICA,,0,0,0,0
118,FERROVIARIOS,,0,0,0,0
119,avalian,,0,0,0,0
120,PSICOFISICO - JEANNOT,,1,0,1100,0
121,Helios Salud,,1,0,619,0
122,PEHUAJO SUD,,0,0,62.5,0
123,CETROGAR,,0,0,62.5,0
124,Caja Notarial,,0,0,0,0
125,SOMU,,0,0,0,0
128,La Rotonda,,0,0,0,0
129,OSPATRONES,,0,0,0,0
130,Scis,,0,0,0,0
131,LUIS PASTEUR,,0,0,0,0
132,IMESA,,0,0,0,0
133,OSPSIP,,0,0,0,0
134,Visitar,,0,0,0,0
135,Veterinaria Particulares,,1,0,1181,1
136,OSFATUN,,0,0,0,0
137,Plasma,,0,1,794,0
138,OSPIP,,0,0,0,0
139,PRENSA,,0,0,0,0
140,OSPAG,,0,0,0,0
141,CONTADO DEBITO,,1,0,1874,0
142,HOSPITAL DERIVACIONES,,1,0,600,0
143,Acco Salud,,0,0,0,0
144,Ospep,,0,0,0,0
145,OSPPCYP,,0,0,0,0
146,Ospersaams,,0,0,0,0
