codigoexterno,Nombre
2,Radioinmunoensayo
3,Inmunorradiométrico
6,Contador hematológico - Microscopía
7,Electroforesis
8,Autoanalizador A15 - Enzimático ( GOD - PAD )
10,Westergreen
11,Enzimático
12,Coloración de Papanicolaou
13,Fotometría de llama
14,Autoanalizador A15 - Cinético en UV a 30 ºC
15,Electrodo específico
16,Manual
17,ELISA
18,Amilo - Iodométrico
19,Enzimoinmunoensayo
20,Autoanalizador A15 - Cinético de Jaffé
21,Inmunodifusión radial
22,Cultivo
23,Azul de Metiltimol
24,Autoanalizador A15 - Colorimétrico
25,Turbidimétrico
26,Chavrol - Charonnet
52,Autoanalizador A15 - Ureasa/Glutamato dehidrogenasa
53,Autoanalizador A15 - Cinético en UV a 37 ºC
54,Hemaglutinación
55,Aglutinación de partículas de latex
56,Hemaglutinación indirecta
58,Pisano
59,Autoanalizador A15 - Enzimático ( CHOD - POD )
60,Aglutinación directa
61,Intradermoreacción
62,Ziehl Nielsen
63,Cromatografía - Espectrometría
64,Turbidimétrico cinético UV
65,Coloración de Giemsa
66,Coloración Hematoxilina-Shorr
67,Precipitación con lecitina
68,Campbell
69,Bencidina
70,Azul de Nitratetrozolio
71,Enzimático - Precipitación
72,Firschain y Schill
73,Electroforesis - Difusión radial
74,Inmunofluorescencia
75,Cromatografía líquida (HPLC)
76,Inmunológico en UV (Cualitativo)
77,Actividad hemolítica al 50 % (Grimberg)
78,EIA en microplaca
79,Doble difusión
80,Inmunocromatografía
81,Macroaglutinación con atígeno T.R.
82,Aglutinación pasiva
83,Inmunodifusión doble bidimensional
84,Citometría de flujo
85,Autoanalizador A15 - Inmunoturbidimétrico
86,Espectofotometría
87,Quimioluminiscencia
88,Electrodo selectivo para iones
89,Polarización fluroscente - AXSYM-
90,MEIA
91,Radioensayo competitivo de unión al receptor
92,Winzler modificado
93,Coagulación
94,Fluorométrico
95,Micro-Strut
96,Contador hematológico Counter 19 - Microscopía
97,Pruebas directas con anticuerpo monoclonal e inversas
98,Prueba directa con anticuerpo monoclonal y PAI para negativos.
99,Enzimático - Colorimétrico
100,Inmunológico - Monoclonal - Específico
101,RT- PCR cuantitativa
102,Inmunocromatográfico - Específico
103,Absorción atómica
104,Competición proteica
105,Inmunológico - Starten 25°c
106,EIA
107,Autoanalizador A15 - Colorimétrico - Biuret
108,DELFIA-Fluorométrico
109,Agarosa de alta resolución
110,FPIA
111,Kivirikko - colorimétrico
112,Autoanalizador A15 - TG - Enzimático
113,Autoanalizador A15 - Enzimático ( Uricasa - POD )
114,Autoanalizador A15 - Enzimático
115,Soporte de Acetato de celulosa
116,Inmunoensayo turbidimétrico
117,Autoanalizador A15 - Inmunoturbidimétrico de alta sensibilidad.
118,Electroquimioluminiscencia
119,APTT modificado
120,PCR-FRLP
