IDRenglonVR,IDSubDeterminacionVR,Categoria,ValoresNormales,InformarUnidades
41,104,Valores de referencia:,De 70  a  110,1
43,106,Masculinos:,2 a 7,1
44,107,Adulto femenino:,"De 2,4  a  5,7",1
45,107,Adulto masculino:,"De 3,4  a  7,0",1
48,128,Valores de referencia:,135  a  145,1
49,129,Valores de referencia:,"3,5  a  4,5",1
50,130,Hombres,De 24 a 195,1
51,130,Mujeres,De 24 a 170,1
52,131,Valores de referencia:,230 a 460,1
54,132,Hombres,hasta  37,1
55,132,Mujeres,Hasta 31,1
61,166,Valores de referencia:,30  a  40,1
70,188,Valores de referencia:,60  a  120,1
74,213,Valores de referencia:,35  a  45,1
75,214,Valores de referencia:,80  a  100,1
76,215,Valores de referencia:,95  a  98,1
77,229,Adultos:,Hasta 160,1
79,231,Adultos,De 48  a  230,1
80,255,Valores de referencia,150.000 a 400.000,1
81,256,Valor de referencia:,NEGATIVO,1
96,318,Hombres:,Hasta 41,1
97,251,Adultos:,"8,50 a 10,50",1
98,251,Recién nacido:,"7,50 a 9,50",1
146,1258,Valor de referencia,Hasta 4,1
147,1260,Valor de referencia,"Hasta 1,60",1
148,1259,Valor de referencia,"0,9 a 9,0",1
149,1262,Negativo:,Menor a 1/8,1
152,338,Hombres :,"De 11,0 a 50,0",1
153,338,Mujeres:,"De 7,0 a 32,0",1
171,1302,Adultos:,"De 0,5 a 2,0",1
172,1303,Adulto:,De 4 a l2,1
173,1304,Adultos:,Hasta 5,1
174,318,Mujeres:,Hasta 31,1
175,1352,Hombres:,"De 0,80 a 1,40",1
176,1352,Mujeres:,"De 0,70 a 1,20",1
177,1353,Valor de referencia:,"De 0,90 a 1,50",1
180,1357,Adultos:,"Hasta 13,6",1
183,1364,Riesgo bajo:,Menor a 140,1
184,1364,Riesgo moderado:,De 140 a 190,1
185,1364,Riesgo alto:,Mayor a 190,1
195,229,Niños de 1 a 4 años:,Hasta 100,1
198,229,Niños de 5 a 10 años:,Hasta 150,1
199,334,Valor de referencia:,De 400 a 800,1
214,1387,Adultos:,"De 2,50 a 4,50",1
215,1387,Niños:,"De 4,00 a 6,50",1
228,270,Valores de referencia:,"De 6,00 a 8,00",1
229,271,Valor de referrencia:,"De 3,24 a 4,32",1
230,272,Valor de referencia:,"De 2,60 a 3,70",1
231,273,Valor de referencia:,"De 1,2 a 2,2",1
232,167,Valor de referencia:,12 a 15,1
233,168,Valor de referencia:,100,1
234,317,Adultos:,"De 0,5 a 3,0",1
235,317,Recién nacidos:,"De 2,0 a 6,0",1
236,1390,Valores de referencia:,De 4.970 a 13.977,1
237,315,Valor de referencia:,De 8 a 15,1
238,1304,Bebes hasta 5 días:,Hasta 20,1
239,1304,Niños hasta 5 años:,Hasta 10,1
240,1303,Bebes hasta 5 días:,De 9 a 20,1
241,1303,Niños hasta 5 años:,De 7 a 15,1
242,1302,Bebes hasta 5 días:,"De 0,5 a 2,1",1
243,1302,Niños hasta 5 años:,"De 1,6 a 2,4",1
253,1396,Adultos:,De 68 a 300,1
254,1396,Niños y adolescentes:,De 100 a 600,1
255,1399,Menor a 6 semanas:,"De 25,0 a 34,0",1
256,1399,Adulto:,De 37 a 55,1
257,1400,Valor de referencia:,"De 12,0 a 18,0",1
258,1401,Valor de referencia:,"De 32,0 a 36,0",1
259,1402,Valor de referrencia:,De 6.000 a 17.000,1
262,1418,Valor de referencia:,De 5 a 10,1
264,1425,Negativo:,Hasta 100,1
265,1426,Negativo:,Hasta 100,1
266,1427,Hombres:,De 20 a 320,1
267,1427,Mujeres:,De 10 a 280,1
268,1427,Pediátricos:,,1
269,1427,RN:,80 % del valor adulto,1
274,1434,Valores de referencia:,"De 0,50 a 1,60",1
275,1435,Valor de referencia:,De 8 a 57,1
276,1436,Valor de referencia:,De 8 a 49,1
278,1438,Valores de referencia:,De 13 a 60,1
280,1440,Valor de referencia:,"De 0,8 a 3,1",1
282,1423,Negativo:,No se observan BAAR.,1
289,1456,Valores de referencia:,No dosable.,1
291,1468,Riesgo bajo:,Menor a 140,1
292,1468,Riesgo moderado:,De 140 a 190,1
293,1468,Riesgo alto:,Mayor a 190,1
294,1472,Hombres:,"Hasta 4,97",1
295,1472,Mujeres:,"Hasta 4,44",1
296,1466,Hombres:,De 30 a 70,1
297,1466,Mujeres:,De 35 a 95,1
298,1470,Hombres:,De 10 a 40,1
299,1470,Mujeres:,De 5 a 32,1
300,1474,Hombres:,De 30 a 70,1
301,1474,Mujeres:,De 35 a 95,1
302,1476,Riesgo bajo:,Hasta 140,1
303,1476,Riesgo moderado:,De 140 a 190,1
304,1476,Riesgo alto:,Mayor a 190,1
305,1478,Hombres:,"Hasta 4,97",1
306,1478,Mujeres:,"Hasta 4,44",1
307,1481,Hombres:,De 30 a 70,1
308,1481,Mujeres:,De 35 a 95,1
309,1483,Riesgo Bajo:,Hasta 140,1
310,1483,Riesgo moderado:,De 140 a 190,1
311,1483,Riesgo Alto:,Mayor a 190,1
312,1485,Hombres:,"Hasta 4,95",1
313,1485,Mujeres:,"Hasta 4,44",1
314,1487,Valor de referencia:,Hasta 160,1
470,187,Marcador Oncologico:,Menor a 5,1
474,1657,Valor de referencia:,NEGATIVO,1
475,1658,No reactivo:,"Menor a 1,00",1
476,1658,Reactivo:,"Mayor o igual a 1,00",1
477,1660,Adulto masculino:,De 20 a 110,1
478,1660,Prepuber:,Menor a 40,1
479,1660,Día 1 a 10 del ciclo:,De 60 a 400,1
480,1660,Día 11 a 20 del ciclo:,De 120 a 430,1
481,1660,Día 21 a 30 del ciclo:,De 160 a 350,1
482,1660,Post menopausia:,Menor a 40,1
483,1661,Adulto masculino:,"De 0,10 a 0,50",1
485,1661,Fase folicular,"De 0,20 a 1,50",1
486,1661,Fase lutea:,"De 3,50 a 15,00",1
487,1661,Post-menopausia:,"De 0,20 a 0,50",1
494,1662,Valores de refencia:,"De17,3 a 74,1",1
495,1663,Valores de referencia:,"De 0,8 a 2,0",1
496,1423,Positivo + (una),0 a 1 BAAR/100 c,1
497,1423,"             ++ (dos)",1 a 10 BAAR/50 c,1
498,1423,"             +++ (tres)",> de 10 BAAR/50 c,1
501,1665,Referencia:,No reactivo,1
502,1667,Referencia:,Negativo.,1
503,1669,Valores de referencia:,Hasta 285,1
504,1670,Referencia:,NEGATIVO,1
505,1671,Referencia:,NEGATIVO,1
506,1672,Referencia:,NEGATIVO,1
507,1673,Referencia:,NEGATIVO,1
518,1677,Valores de referencia:,"De 1,9 a 2,5",1
519,1678,Valores de referencia:,De 250 a 750,1
522,1682,Valores de referencia:,"De 1,0 a 4,0",1
524,230,Recien nacidos:,De 720 a 1.650,1
525,230,De 1 a 3 meses:,De 220 a 920,1
