IDResultadoAbreviado,Resultado,Abreviatura
1,Normal,NL
2,POSITIVO,P
3,NEGATIVO,N
5,Se observan,SO
6,No se observan,NS
8,No contiene,NC
10,Límpido,L
11,Amarillo,AM
13,SUERO NO REACTIVO,NR
14,SUERO REACTIVO,SR
15,No dosable,ND
16,Regular cantidad,rc
17,Abundante cantidad,Ac
18,Escasa cantidad,ec
19,Vestigios,ve
20,Contiene (+),1+
21,Contiene (++),2+
22,Contiene (+++),3+
23,Contiene (++++),4+
27,Turbio,t
28,Ligeramente turbio,lt
29,Amarillo claro,acl
30,Amarillo oscuro,ao
39,Serie roja normal.,srn
40,No se observan elementos parasitarios,nsoep
41,SENSIBLE,S
42,RESISTENTE,R
43,No se obtiene desarrollo,nsod
44,No se aislan bacterias,nsab
45,Escherichia coli,Esche
46,Staphylococcus aureus meticilino resistente,SAMR
47,Se aisla flora habitual de fauces,safhf
48,Ambar,amb
49,Se aisla flora habitual de vagina,safhv
50,No se aisla flora bacteriana patogena,nsafbp
51,Klebsiella pneumoniae,kp
52,No se observan huevos de Enterobius vermicularis,nsohev
53,Se observan huevos de Enterobius vermicularis,sohev
54,No se observan elementos fúngicos,nsoef
55,Negativo,ne
56,Positivo,po
57,Muy abundante cantidad,mac
58,No se observan bacilos acido-alcohol resistentes,nsobaar
59,Contiene trazas,tr
60,No se observan bacterias,Nsob
66,Ampicilina: SENSIBLE,AMPS
67,Ampicilina: RESISTENTE,AMPR
68,Ampicilina-Sulbactam: SENSIBLE,AMSS
69,Ampicilina-Sulbactam: RESISTENTE,AMSR
70,Cefalotina: SENSIBLE,CEFS
71,Cefalotina: RESISTENTE,CEFR
72,Ciprofloxacina: SENSIBLE,CIPS
73,Ciprofloxacina: RESISTENTE,CIPR
74,Trimetoprima-Sulfametoxazol: SENSIBLE,TMSS
75,Trimetoprima-Sulfametoxazol: RESISTENTE,TMSR
76,Nitrofurantoina: SENSIBLE,NFS
77,Nitrofurantoina: RESISTENTE,NFR
78,Cefepime: SENSIBLE,FEPS
79,Cefepime: RESISTENTE,FEPR
80,Cefotaxima: SENSIBLE,CTXS
81,Cefotaxima: RESISTENTE,CTXR
82,Fosfomicina: SENSIBLE,FOSS
83,Fosfomicina: RESISTENTE,FOSR
84,Ertapenem: SENSIBLE,ERTS
85,Ertapenem: RESISTENTE,ERTR
86,Eritromicina: SENSIBLE,ERIS
87,Eritromicina: RESISTENTE,ERIR
88,Clindamicina: SENSIBLE,CLIS
89,Clindamicina: RESISTENTE,CLIR
90,Rifampicina: SENSIBLE,RIFS
91,Rifampicina: RESISTENTE,RIFR
92,Minociclina: SENSIBLE,MINS
93,Minociclina: RESISTENTE,MINR
94,Gentamicina: SENSIBLE,GENS
95,Gentamicina: RESISTENTE,GENR
96,Imipenem: SENSIBLE,IMIS
97,Imipenem: RESISTENTE,IMIR
98,Meropenem: SENSIBLE,MERS
99,Meropenem: RESISTENTE,MERR
100,Ceftriaxona: SENSIBLE,CROS
101,Ceftriaxona: RESISTENTE,CROR
102,Cefazolina: SENSIBLE,CZS
103,Cefazolina: RESISTENTE,CZR
104,Amicacina: SENSIBLE,AMKS
105,Amicacina: RESISTENTE,AMKR
106,Tigeciclina: SENSIBLE,TGCS
107,Tigeciclina: RESISTENTE,TGCR
108,Colistina: SENSIBLE,COLS
109,Colistina: RESISTENTE,COLR
110,Vancomicina: SENSIBLE,VANS
111,Vancomicina: RESISTENTE,VANR
112,Piperacilina-Tazobactam: SENSIBLE,PTZS
113,Piperacilina-Tazobactam: RESISTENTE,PTZR
114,Ceftazidima: SENSIBLE,CAZS
115,Ceftazidima: RESISTENTE,CAZR
116,Flora orofaríngea habitual,FOH
117,Microbiota habitual de vagina,MHV
118,Cepa prod de betalactamasa de espectro extendido,Blee
119,Los Staphylococcus aureus,meticilino
120,Gardnerella vaginalis,gv
