IDSubDeterminacion,IDDeterminacion,Nombre,Formato,IDUnidad,Calcular,Informar,Informar2C,InformarTextoAntes,InformarCorteDespues,InformarVR,ValorMinimo,ValorMaximo
104,12,Resultado:,D0,71,0,1,0,,0,1,,
106,14,Resultado primera hora:,D0,18,0,1,0,,0,1,,50
107,15,Resultado:,D2,71,0,1,0,,0,1,,
108,16,Resultado:,TXT,,0,1,0,,0,0,,
111,17,Resultado:,D0,71,0,1,0,,0,1,,
116,19,Nombre:,TXT,,0,1,0,RECEPTOR:,0,0,,
117,19,Grupo ABO:,TXT,,0,1,0,,0,0,,
118,19,Rh:,TXT,,0,1,0,,1,0,,
119,19,Direccion:,TXT,,0,1,0,DADOR,0,0,,
120,19,Te:,TXT,,0,1,0,,0,0,,
121,19,Hto:,TXT,,0,1,0,,1,0,,
125,19,HIV,TXT,,0,1,0,Serología,0,0,,
126,19,Chagas:,TXT,,0,1,0,,0,0,,
128,20,Sodio,D0,20,0,1,0,Resultado:,0,1,125,150
129,20,Potasio,D1,20,0,1,0,,0,1,"2,5","5,0"
130,21,Resultado:,D0,21,0,1,0,,0,1,,300
131,22,Resultado:,D0,21,0,1,0,,0,1,200,500
132,23,Resultado:,D0,21,0,1,0,,0,1,,
166,26,Resultado:,D0,67,0,1,0,,0,1,,
167,27,Resultado:,D0,67,0,1,0,,1,1,,
168,27,Ac. Protrombínica:,D0,10,0,1,0,,1,1,,
187,30,Resultado:,D1,66,0,1,0,,0,1,,
188,32,Resultado:,D0,25,0,1,0,,0,1,,
189,33,Resultado:,TXT,,0,1,0,,0,0,,
192,36,Resultado:,TXT,,0,1,0,,0,1,,
193,37,TSH,TXT,,0,1,0,PESQUISA DE HIPOTIROIDISMO,1,0,,
198,42,Resultado:,D1,10,0,1,0,,0,0,,
213,44,pCO2,D1,22,0,1,0,,0,1,,
214,44,pO2,D1,22,0,1,0,,0,1,,
215,44,Saturación de Oxígeno,D1,10,0,1,0,,0,1,,
229,47,Resultado:,D1,27,0,1,0,,0,1,,
230,48,Resultado:,D0,71,0,1,0,,0,1,,
231,49,Resultado:,D0,6,0,1,0,,0,1,,
232,51,Resultado:,TXT,,0,1,0,,0,1,,
251,1,Resultado:,D2,71,0,1,0,,0,1,,
