IDPaciente,IDUsuario
1,
2,39
3,24
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,530
15,
16,
17,551
18,
19,
20,5
21,
22,
23,
24,
25,
27,
28,
29,
30,
31,
32,
33,
34,
35,519
36,
37,
38,489
39,1000
40,
41,
42,489
44,
45,
46,
47,
48,
49,1930
50,340
51,569
52,
54,
55,551
56,
57,
58,
59,
60,
61,
62,1567
63,1567
64,
65,
66,2623
67,489
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,359
81,
82,
83,
84,329
85,
86,489
87,2481
88,
89,
90,
91,
92,
93,
94,879
95,
96,
97,
98,
99,
100,
101,2148
102,
103,471
104,1000
105,
106,
107,
108,489
109,39
110,
111,
112,126
113,
114,
115,
116,
117,
118,
119,1486
120,
121,
122,489
123,
124,2308
125,
126,
127,
128,
129,237
130,
131,
132,
133,97
134,385
135,489
136,
137,
138,
139,
140,
141,
142,
143,120
144,
145,
146,
147,
148,
149,59
150,
151,237
152,1516
153,
154,
155,
156,346
157,
158,3
159,
161,616
162,
163,1465
164,
165,638
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,257
191,
192,1248
193,
194,471
195,
196,
197,277
198,
199,2308
200,
201,
202,
203,
204,
205,
206,
207,533
208,
209,
210,
211,
212,97
213,240
214,1978
215,
216,
217,2378
218,
219,
220,
221,
222,
223,
224,2016
225,
226,489
227,
228,1554
229,
230,811
231,
232,
233,142
234,
235,624
236,
237,
238,
239,
240,280
241,
242,611
243,376
244,
245,
246,
247,1871
248,
249,
250,
251,36
252,
253,
254,
255,
256,
257,
259,
260,
261,
262,1884
263,1805
264,
265,
266,
267,5
268,386
269,
270,
271,
272,
273,381
274,
275,
276,
277,
278,
279,
280,
281,
282,257
283,
284,
285,872
286,
287,
288,1950
289,
292,
293,
294,
295,329
296,8
297,632
298,
299,
300,
301,
302,
303,
304,
305,88
307,
308,295
309,
310,
311,
313,
314,
315,
316,
317,
318,
